"StockID","corr"
"Stock1",0.206699635279518
"Stock2",0.609708234740099
"Stock3",0.331684713112961
"Stock4",0.204274552152064
"GBcod",0.663488513485446
"Stock5",0.559634410803526
"Stock6",-0.0650028822275007
"Stock7",0.504996944837818
"Stock8",0.624966306648278
"Stock9",0.609892320658421
"Stock10",0.82601902779652
"Stock11",0.825042272039432
"Stock12",0.825042272039432
"Stock13",0.687395005877669
"Stock14",0.345543622727092
"Stock15",0.261325161483561
"Stock16",0.550653727504737
"Stock17",0.187907305219814
"Stock18",0.367604122210005
"Stock19",0.0473218467155758
"Stock20",0.0178371207420909
"Stock21",0.175108236237807
"Stock22",0.715291031976794
"Stock23",0.708829660021885
"Stock24",0.205963185471373
"Stock25",0.0860512109695822
"Stock26",0.418055750582221
"Stock27",0.753390230670924
"Stock28",0.123817109868093
